,Name,rel_date,orig_price,discounted_price,discount%
0,Counter-Strike: Global Offensive,08-21-2012,14.99,14.99,0.0
1,PLAYERUNKNOWN'S BATTLEGROUNDS,03-23-2017,29.99,29.99,0.0
2,Outlast 2,04-24-2017,29.99,29.99,0.0
3,SMITE,09-8-2015,0.0,0.0,0.0
4,Rocket League,07-6-2015,19.99,19.99,0.0
5,BlazBlue Centralfiction,04-25-2017,39.99,35.99,10.0
6,Warframe,03-25-2013,0.0,0.0,0.0
7,The Long Dark,09-22-2014,19.99,9.99,50.03
8,H1Z1: King of the Kill,02-17-2016,19.99,19.99,0.0
9,NieR:Automata ,03-17-2017,59.99,59.99,0.0
10,Batman : Arkham Knight,06-23-2015,19.99,7.99,60.03
11,Team Fortress 2,10-10-2007,0.0,0.0,0.0
12,War Thunder,08-15-2013,0.0,0.0,0.0
13,DRAGON QUEST HEROES  II,04-25-2017,59.99,59.99,0.0
14,FINAL FANTASY XIV: A Realm Reborn ,02-18-2014,19.99,19.99,0.0
15,Batman: Arkham City - Game of the Year Edition,09-7-2012,19.99,4.99,75.04
16,Space Engineers,10-23-2013,24.99,7.49,70.03
17,Sniper Ghost Warrior 3,04-24-2017,49.99,49.99,0.0
18,Tom Clancy's Rainbow Six Siege,12-1-2015,14.99,14.99,0.0
19,Dota 2,07-9-2013,0.0,0.0,0.0
20,Grand Theft Auto V,04-13-2015,59.99,59.99,0.0
21,Batman: Arkham Asylum Game of the Year Edition,03-26-2010,19.99,4.99,75.04
22,Halo Wars: Definitive Edition,04-20-2017,19.99,19.99,0.0
23,Street Fighter V,02-15-2016,39.99,39.99,0.0
24,Batman : Arkham VR,04-25-2017,19.99,19.99,0.0
25,Star Trek Online,01-31-2012,0.0,0.0,0.0
26,Fallout Shelter,03-29-2017,0.0,0.0,0.0
27,Path of Exile,10-23-2013,0.0,0.0,0.0
28,Batman : Arkham Origins,10-25-2013,19.99,4.99,75.04
29,Sid Meier’s Civilization VI,10-20-2016,59.99,59.99,0.0
30,What Remains of Edith Finch,04-24-2017,19.99,19.99,0.0
31,Scanner Sombre,04-26-2017,11.99,9.59,20.02
32,Earthfall,04-26-2017,29.99,29.99,0.0
33,Rick and Morty: Virtual Rick-ality,04-20-2017,29.99,29.99,0.0
34,Stardew Valley,02-26-2016,14.99,14.99,0.0
